Location,Medium,Sample Date,Procedure Name,Nuclides/ Radiation,Result,Combined Standard Uncertainty,MDC,Unit
ALBUQUERQUE,AIR-FILTER,2012-10-5,Gross beta in air,Gross Beta,0.01516,0.00093,0.00021,PCI/M3
ALBUQUERQUE,AIR-FILTER,2012-04-12,Gross beta in air,Gross Beta,0.00897,0.00056,0.00019,PCI/M3
ALBUQUERQUE,AIR-FILTER,2012-08-16,Gross beta in air,Gross Beta,0.00957,0.0006,0.0002,PCI/M3
ALBUQUERQUE,AIR-FILTER,2012-12-14,Gross beta in air,Gross Beta,0.00931,0.00059,0.00023,PCI/M3
ALBUQUERQUE,AIR-FILTER,2012-09-28,Gross beta in air,Gross Beta,0.0223,0.0013,0.0002,PCI/M3
ALBUQUERQUE,AIR-FILTER,2012-08-24,Gross beta in air,Gross Beta,0.00961,0.0006,0.00018,PCI/M3
ALBUQUERQUE,AIR-FILTER,2012-09-14,Gross beta in air,Gross Beta,0.00759,0.00048,0.00018,PCI/M3
ALBUQUERQUE,AIR-FILTER,2012-04-4,Gross beta in air,Gross Beta,0.00559,0.00038,0.00025,PCI/M3
ALBUQUERQUE,AIR-FILTER,2012-09-6,Gross beta in air,Gross Beta,0.00862,0.00055,0.00025,PCI/M3
ALBUQUERQUE,AIR-FILTER,2012-02-3,Gross beta in air,Gross Beta,0.01075,0.00067,0.00022,PCI/M3
ALBUQUERQUE,AIR-FILTER,2012-07-3,Gross beta in air,Gross Beta,0.00772,0.00053,0.00035,PCI/M3
ALBUQUERQUE,AIR-FILTER,2013-01-18,Gross beta in air,Gross Beta,0.01114,0.00069,0.0002,PCI/M3
ALBUQUERQUE,AIR-FILTER,2013-09-13,Gross beta in air,Gross Beta,0.00831,0.00053,0.00021,PCI/M3
ALBUQUERQUE,AIR-FILTER,2013-08-2,Gross beta in air,Gross Beta,0.01241,0.00077,0.00023,PCI/M3
ALBUQUERQUE,AIR-FILTER,2013-08-30,Gross beta in air,Gross Beta,0.00828,0.00053,0.00022,PCI/M3
ALBUQUERQUE,AIR-FILTER,2013-09-20,Gross beta in air,Gross Beta,0.00819,0.00052,0.00021,PCI/M3
ALBUQUERQUE,AIR-FILTER,2013-12-29,Gross beta in air,Gross Beta,0.01599,0.00097,0.00011,PCI/M3
